Employee Name,Employee ID,Date,Clock In,Clock Out,Break Start,Break End,Total Hours,Overtime Hours,Location,Status,Approved By,Notes
John Smith,john123,9/24/2025,11:35:23 PM,Still clocked in,,,0,0,Store-WiFi-Main,Pending,,
John Smith,john123,9/24/2025,9:38:07 AM,5:27:07 PM,,,7.82,0.00,Store-WiFi-Main,Approved,,
Tom Wilson,tom202,9/24/2025,9:35:07 AM,6:30:07 PM,,,8.92,0.92,Store-WiFi-Main,Approved,sarah456,
Lisa Chen,lisa101,9/24/2025,9:26:07 AM,5:32:07 PM,,,8.10,0.10,Store-WiFi-Main,Approved,,
Sarah Johnson,sarah456,9/24/2025,9:17:07 AM,6:38:07 PM,,,9.35,1.35,Store-WiFi-Main,Approved,,
Mike Davis,mike789,9/24/2025,8:13:07 AM,4:00:07 PM,,,7.78,0.00,Store-WiFi-Main,Approved,,
Sarah Johnson,sarah456,9/23/2025,9:43:07 AM,6:41:07 PM,,,8.97,0.97,Store-WiFi-Main,Approved,,
Mike Davis,mike789,9/23/2025,9:20:07 AM,4:45:07 PM,,,7.42,0.00,Store-WiFi-Main,Approved,sarah456,
John Smith,john123,9/23/2025,9:09:07 AM,5:47:07 PM,,,8.63,0.63,Store-WiFi-Main,Pending,sarah456,
Tom Wilson,tom202,9/23/2025,9:08:07 AM,4:08:07 PM,,,7.00,0.00,Store-WiFi-Main,Approved,,
Lisa Chen,lisa101,9/22/2025,9:31:07 AM,4:15:07 PM,,,6.73,0.00,Store-WiFi-Main,Approved,sarah456,
Tom Wilson,tom202,9/22/2025,9:29:07 AM,6:00:07 PM,,,8.52,0.52,Store-WiFi-Main,Approved,sarah456,
John Smith,john123,9/22/2025,9:12:07 AM,5:49:07 PM,,,8.62,0.62,Store-WiFi-Main,Approved,,
Sarah Johnson,sarah456,9/22/2025,9:11:07 AM,4:24:07 PM,,,7.22,0.00,Store-WiFi-Main,Approved,sarah456,
Tom Wilson,tom202,9/21/2025,9:45:07 AM,6:14:07 PM,,,8.48,0.48,Store-WiFi-Main,Approved,sarah456,
Sarah Johnson,sarah456,9/21/2025,8:58:07 AM,4:07:07 PM,,,7.15,0.00,Store-WiFi-Main,Pending,,
Mike Davis,mike789,9/21/2025,8:57:07 AM,4:54:07 PM,,,7.95,0.00,Store-WiFi-Main,Approved,sarah456,
John Smith,john123,9/21/2025,8:42:07 AM,3:21:07 PM,,,6.65,0.00,Store-WiFi-Main,Approved,,
Lisa Chen,lisa101,9/21/2025,8:27:07 AM,3:11:07 PM,,,6.73,0.00,Store-WiFi-Main,Approved,,
Lisa Chen,lisa101,9/20/2025,9:43:07 AM,6:37:07 PM,,,8.90,0.90,Store-WiFi-Main,Approved,,
John Smith,john123,9/20/2025,9:35:07 AM,4:15:07 PM,,,6.67,0.00,Store-WiFi-Main,Approved,,
Sarah Johnson,sarah456,9/20/2025,9:15:07 AM,4:23:07 PM,,,7.13,0.00,Store-WiFi-Main,Pending,,
Tom Wilson,tom202,9/20/2025,8:40:07 AM,4:16:07 PM,,,7.60,0.00,Store-WiFi-Main,Approved,sarah456,
Tom Wilson,tom202,9/19/2025,9:03:07 AM,4:30:07 PM,,,7.45,0.00,Store-WiFi-Main,Pending,sarah456,
Lisa Chen,lisa101,9/19/2025,8:41:07 AM,5:12:07 PM,,,8.52,0.52,Store-WiFi-Main,Approved,,
Mike Davis,mike789,9/19/2025,8:31:07 AM,4:28:07 PM,,,7.95,0.00,Store-WiFi-Main,Approved,sarah456,
Sarah Johnson,sarah456,9/19/2025,8:07:07 AM,3:31:07 PM,,,7.40,0.00,Store-WiFi-Main,Approved,,
Lisa Chen,lisa101,9/18/2025,9:17:07 AM,6:22:07 PM,,,9.08,1.08,Store-WiFi-Main,Pending,,
John Smith,john123,9/18/2025,8:50:07 AM,3:25:07 PM,,,6.58,0.00,Store-WiFi-Main,Pending,,
